protocol,run,remote_ip,http_version,http_code,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,exitcode,errormsg
http2,1,172.66.0.243,2,401,0.002373,0.009959,0.026825,0.117182,0.117303,0,
http2,2,172.66.0.243,2,401,0.002782,0.010507,0.025661,0.093123,0.093201,0,
http2,3,172.66.0.243,2,401,0.002141,0.009375,0.024360,0.113277,0.113363,0,
http2,4,172.66.0.243,2,401,0.002371,0.089965,0.111354,0.183898,0.184026,0,
http2,5,172.66.0.243,2,401,0.002806,0.012786,0.029360,0.097986,0.098087,0,
http1.1,1,172.66.0.243,1.1,401,0.002389,0.010392,0.025343,0.097656,0.097711,0,
http1.1,2,172.66.0.243,1.1,401,0.002669,0.010728,0.026739,0.137479,0.137734,0,
http1.1,3,172.66.0.243,1.1,401,0.002857,0.010465,0.025550,0.121571,0.121642,0,
http1.1,4,172.66.0.243,1.1,401,0.002750,0.010405,0.027840,0.104998,0.105074,0,
http1.1,5,172.66.0.243,1.1,401,0.004814,0.012093,0.029318,0.105799,0.105875,0,
http3,1,172.66.0.243,3,401,0.003928,0.006556,0.067825,0.147518,0.148024,0,
http3,2,172.66.0.243,3,401,0.005032,0.023150,0.024687,0.175243,0.175405,0,
http3,3,172.66.0.243,3,401,0.004265,0.020296,0.021806,0.177589,0.177961,0,
http3,4,172.66.0.243,3,401,0.002843,0.019339,0.020954,0.100751,0.100922,0,
http3,5,172.66.0.243,3,401,0.003482,0.020628,0.022134,0.109964,0.110136,0,
