protocol,run,remote_ip,http_version,http_code,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,exitcode,errormsg
http2,1,172.66.0.243,2,401,0.002529,0.010754,0.023920,0.102957,0.103043,0,
http2,2,172.66.0.243,2,401,0.002583,0.009775,0.022949,0.104868,0.105016,0,
http2,3,172.66.0.243,2,401,0.002623,0.010583,0.023394,0.107892,0.108004,0,
http2,4,172.66.0.243,2,401,0.002840,0.011070,0.109362,0.191713,0.191802,0,
http2,5,172.66.0.243,2,401,0.002529,0.010721,0.023627,0.096550,0.096647,0,
http1.1,1,172.66.0.243,1.1,401,0.002649,0.012742,0.026079,0.109489,0.109577,0,
http1.1,2,172.66.0.243,1.1,401,0.002922,0.010735,0.023141,0.167417,0.167468,0,
http1.1,3,172.66.0.243,1.1,401,0.002661,0.010850,0.025858,0.102129,0.102216,0,
http1.1,4,172.66.0.243,1.1,401,0.002534,0.010256,0.023197,0.095358,0.095441,0,
http1.1,5,172.66.0.243,1.1,401,0.002843,0.010615,0.023354,0.111548,0.111639,0,
http3,1,172.66.0.243,3,401,0.002887,0.014432,0.016370,0.133712,0.133788,0,
http3,2,172.66.0.243,3,401,0.002680,0.003872,0.016479,0.091844,0.091963,0,
http3,3,172.66.0.243,3,401,0.002727,0.014320,0.015772,0.093901,0.094062,0,
http3,4,172.66.0.243,3,401,0.002875,0.014451,0.016029,0.095896,0.095965,0,
http3,5,172.66.0.243,3,401,0.002953,0.014436,0.015670,0.158223,0.158372,0,
