label,method,url,proto,sample,http_code,http_version,remote_ip,local_ip,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_starttransfer,time_total,exit_code
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h1,2,401,1.1,162.159.140.245,10.2.112.254,0.002283,0.009646,0.022355,0.022383,0.174712,0.174917,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h1,2,401,1.1,162.159.140.245,10.2.112.254,0.002597,0.013867,0.028733,0.028773,0.102504,0.102712,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h1,2,401,1.1,162.159.140.245,10.2.112.254,0.003123,0.011030,0.025411,0.025452,0.097667,0.097862,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h1,2,401,1.1,172.64.155.209,10.2.112.254,0.002247,0.009117,0.022834,0.022859,0.064894,0.065105,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h1,2,401,1.1,172.64.155.209,10.2.112.254,0.002991,0.012141,0.109952,0.109996,0.151061,0.151361,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h1,2,200,1.1,76.76.21.22,10.2.112.254,0.002887,0.010763,0.024891,0.024920,0.225952,0.226289,0
api_models,GET,https://api.openai.com/v1/models,h2,2,401,2,162.159.140.245,10.2.112.254,0.003031,0.010726,0.031396,0.031471,0.203738,0.204099,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h2,2,401,2,162.159.140.245,10.2.112.254,0.002555,0.010276,0.024365,0.024435,0.096009,0.096250,0
api_responses,POST,https://api.openai.com/v1/responses,h2,2,401,2,162.159.140.245,10.2.112.254,0.002659,0.009854,0.022163,0.022237,0.099760,0.099970,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h2,2,401,2,162.159.140.245,10.2.112.254,0.002212,0.009763,0.023563,0.023628,0.096474,0.096689,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h2,2,401,2,162.159.140.245,10.2.112.254,0.002155,0.009697,0.022585,0.022647,0.141108,0.141368,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h2,2,401,2,162.159.140.245,10.2.112.254,0.002492,0.010656,0.025074,0.025150,0.097046,0.097279,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h2,2,401,2,172.64.155.209,10.2.112.254,0.002144,0.010770,0.025306,0.025369,0.069315,0.069540,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h2,2,401,2,172.64.155.209,10.2.112.254,0.002589,0.010696,0.024227,0.024296,0.071503,0.071699,0
