protocol,run,remote_ip,http_version,http_code,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,exitcode,errormsg
http2,1,172.66.0.243,2,401,0.004532,0.012169,0.025540,0.104972,0.105338,0,
http2,2,172.66.0.243,2,401,0.002612,0.009945,0.025537,0.102703,0.102820,0,
http2,3,172.66.0.243,2,401,0.002687,0.009957,0.023342,0.092358,0.092492,0,
http2,4,172.66.0.243,2,401,0.002719,0.088268,0.101396,0.173857,0.174139,0,
http2,5,172.66.0.243,2,401,0.002517,0.010229,0.022573,0.111465,0.111713,0,
http1.1,1,172.66.0.243,1.1,401,0.002574,0.009032,0.021742,0.091591,0.091846,0,
http1.1,2,172.66.0.243,1.1,401,0.002591,0.009707,0.022643,0.150647,0.150913,0,
http1.1,3,172.66.0.243,1.1,401,0.002973,0.011151,0.024308,0.094137,0.094412,0,
http1.1,4,172.66.0.243,1.1,401,0.002437,0.010211,0.024242,0.102356,0.102586,0,
http1.1,5,172.66.0.243,1.1,401,0.002431,0.009717,0.023082,0.095884,0.096160,0,
http3,1,172.66.0.243,3,401,0.002796,0.016425,0.019207,0.176544,0.177065,0,
http3,2,172.66.0.243,3,401,0.002547,0.014787,0.016057,0.087922,0.088238,0,
http3,3,172.66.0.243,3,401,0.002563,0.017547,0.018603,0.096784,0.097008,0,
http3,4,172.66.0.243,3,401,0.002342,0.014021,0.015225,0.091642,0.091949,0,
http3,5,172.66.0.243,3,401,0.002396,0.003547,0.075383,0.149091,0.149403,0,
