protocol,run,remote_ip,http_version,http_code,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,exitcode,errormsg
http2,1,172.66.0.243,2,401,0.010398,0.018568,0.031840,0.103462,0.103570,0,
http2,2,172.66.0.243,2,401,0.002487,0.010954,0.024183,0.099084,0.099205,0,
http2,3,172.66.0.243,2,401,0.002343,0.009598,0.022683,0.097716,0.097799,0,
http2,4,172.66.0.243,2,401,0.002624,0.010150,0.107492,0.178462,0.178540,0,
http2,5,172.66.0.243,2,401,0.002645,0.012636,0.025891,0.098623,0.098738,0,
http1.1,1,172.66.0.243,1.1,401,0.002826,0.011169,0.024406,0.102482,0.102539,0,
http1.1,2,172.66.0.243,1.1,401,0.002429,0.009642,0.022884,0.097078,0.097143,0,
http1.1,3,172.66.0.243,1.1,401,0.002475,0.078227,0.091519,0.159180,0.159253,0,
http1.1,4,172.66.0.243,1.1,401,0.002661,0.010874,0.023789,0.098380,0.098473,0,
http1.1,5,172.66.0.243,1.1,401,0.002731,0.011921,0.025151,0.117316,0.117372,0,
http3,1,172.66.0.243,3,401,0.002854,0.014553,0.015852,0.162181,0.162327,0,
http3,2,172.66.0.243,3,401,0.002839,0.017259,0.018796,0.100208,0.100329,0,
http3,3,172.66.0.243,3,401,0.004146,0.017808,0.019096,0.106260,0.106380,0,
http3,4,172.66.0.243,3,401,0.003055,0.015024,0.016571,0.086656,0.086750,0,
http3,5,172.66.0.243,3,401,0.002674,0.014691,0.015925,0.145434,0.145553,0,
