protocol,run,remote_ip,http_version,http_code,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,exitcode,errormsg
http2,1,172.66.0.243,2,401,0.006872,0.014661,0.026573,0.092741,0.092806,0,
http2,2,172.66.0.243,2,401,0.002316,0.010520,0.022355,0.101472,0.101560,0,
http2,3,172.66.0.243,2,401,0.002067,0.069087,0.081969,0.153731,0.153814,0,
http2,4,172.66.0.243,2,401,0.002106,0.009352,0.022888,0.098840,0.098917,0,
http2,5,172.66.0.243,2,401,0.002061,0.010846,0.022598,0.091350,0.091425,0,
http1.1,1,172.66.0.243,1.1,401,0.002019,0.009946,0.021498,0.166839,0.166897,0,
http1.1,2,172.66.0.243,1.1,401,0.002168,0.011442,0.024158,0.099542,0.099588,0,
http1.1,3,172.66.0.243,1.1,401,0.002653,0.011246,0.022751,0.090042,0.090086,0,
http1.1,4,172.66.0.243,1.1,401,0.002084,0.009709,0.021312,0.093492,0.093544,0,
http1.1,5,172.66.0.243,1.1,401,0.002581,0.009688,0.021031,0.120097,0.120146,0,
http3,1,172.66.0.243,3,401,0.002244,0.015377,0.018487,0.089443,0.089513,0,
http3,2,172.66.0.243,3,401,0.002511,0.013636,0.015149,0.085809,0.085893,0,
http3,3,172.66.0.243,3,401,0.002162,0.014092,0.015490,0.110710,0.110776,0,
http3,4,172.66.0.243,3,401,0.002627,0.013476,0.017154,0.117958,0.118058,0,
http3,5,172.66.0.243,3,401,0.002930,0.014146,0.016902,0.086113,0.086199,0,
